player,FGM,FTM,TPM,PTS,REB,AST,STL,BLK,TO,FGA,FTA
Tomas Satoransky,4.3,1.6,0.8,10.9,3.5,5.1,1,0.2,1.4,9,2
Malik Monk,4.6,1.9,2.4,13.4,2.9,2.5,0.8,0.5,1.8,11.2,2.2
Kyle Anderson ,3.5,0.9,0.2,8,5.7,3,1.2,0.9,1.2,6.3,1.3
Dennis Schroder,5.4,2.2,1.5,14.6,3.4,3.8,0.7,0.2,2,13,2.7
Coby White,3.9,2.5,1.5,11.8,2.8,3.2,1.1,0.2,1.6,8.9,3.2
Willie Cauley-Stein,4.7,1.8,0,11.3,7.3,2.6,1.2,0.6,1,8.3,3.3
Wesley Matthews,4.9,1.9,2.4,14.1,2.4,2.2,0.7,0.2,1.2,11.1,2.3
Rodions Kurucs,4.8,1.5,1.4,12.4,5,1,0.9,0.6,1.5,10.4,1.9
Rui Hachimura,5,2.4,0.5,12.8,5.3,1.6,0.9,0.7,1.4,10.5,3.3
Kenneth Faried,4.9,2,0.2,12.1,7.9,0.6,0.6,0.7,1,8.4,3.2
Patrick Beverley,2.9,1.4,1.6,8.8,4.1,4.3,1,0.7,1.2,6.8,1.8
JaMychal Green,3.7,1.4,1.3,10.2,7,1,0.8,0.6,1.5,7.6,1.9
Dario Saric,4.2,1.8,1.6,11.7,6.1,1.7,0.6,0.1,1.2,9.4,2.1
James Johnson,4.2,1.3,1.3,10.9,4.4,3.5,0.8,0.7,1.7,9.1,1.8
Seth Curry,4.5,0.9,2.3,12.3,2.6,1.4,0.7,0.3,1.2,9.8,1.1
Moritz Wagner,4.1,2.4,1.2,11.9,4.8,1.5,0.5,0.7,2.1,9.7,2.9
Rodney Hood,4.4,2.1,1.3,12.2,2.3,1.9,0.8,0.2,0.8,10,2.4
Jakob Poeltl,3.5,0.9,0,7.9,8.3,1.8,0.6,1.3,0.8,5.6,1.8
Boban Marjanovic,3.5,2.2,0.1,9.3,5.8,1.2,0.3,0.6,1.3,5.5,2.8
Jordan Clarkson,5.5,1.7,1.5,14.3,2.8,2,0.6,0.2,1.4,12.4,2
Dillon Brooks,5.4,1.9,1.3,13.9,3.3,1.4,1,0.2,1.7,12,2.6
Dennis Smith Jr,5,1.8,1.2,13.1,2.8,4.6,1.2,0.4,2.6,11.8,2.8
Jeff Green,3.6,2,1.2,10.4,3.5,1.5,0.5,0.4,1.1,7.6,2.3
Robert Williams,2.2,0.6,0,5,4.8,0.4,0.5,2.4,0.5,3,0.9
Michael Kidd-Gilchrist,3.4,2.1,0.4,9.4,5.3,1.4,0.7,0.8,0.9,7.1,2.6
Monte Morris,4.4,0.8,1.2,10.9,2.4,3.8,0.9,0,0.6,9,1.1
Elfrid Payton,4,1.2,0.7,9.8,4.2,6,0.9,0.4,2.4,9,1.6
Meyers Leonard,3.5,1.1,1.3,9.5,6.1,1.9,0.3,0.2,1.1,6.4,1.3
Troy Brown,4.5,1.4,0.9,11.3,6,3.2,0.9,0.2,1.3,10.2,1.9
Nerlens Noel,2.6,0.9,0,6,5.2,0.7,1.1,1.5,0.7,4.4,1.2
Marvin Williams,3.4,0.8,1.8,9.5,5,1.1,0.8,0.7,0.5,8,1
Dwayne Bacon,5.7,1.2,1.4,14,3.3,1.7,0.6,0.2,0.6,12.1,1.7
Landry Shamet,4.3,1.2,2.8,12.6,2.2,1.9,0.6,0.1,0.7,9.7,1.5
Kevin Knox,5.3,2.3,1.7,14.5,4.7,1.1,0.6,0.3,1.5,12.5,3.1
Tyus Jones,3.2,1,0.7,8,2.1,5.1,1.3,0.1,0.7,7.3,1.1
Norman Powell,4.1,1.3,1.4,11,3.1,1.9,0.9,0.3,1.3,8.6,1.7
OG Anunoby,4.3,0.8,1.5,11,4.4,1,1.2,0.4,1.1,9.5,1.3
Josh Jackson,4.8,2,1,12.5,4.8,2.5,0.9,0.8,2.3,11.5,2.9
Kentavious Caldwell-Pope,3.7,1.6,1.7,10.8,2.7,1.2,0.8,0.2,0.7,8.6,1.8
Will Barton,4.6,1.4,1.7,12.3,4.9,3.1,0.4,0.5,1.5,11.4,1.8
Ish Smith,4.9,1.1,1.1,11.9,3.4,4.7,0.6,0.3,1.4,11.3,1.5
Mason Plumlee,3.2,1.4,0,7.8,6.4,3,0.8,0.9,1.4,5.4,2.4
Bruce Brown Jr,4.5,0.8,0.5,10.5,4,2.1,1.1,0.7,0.8,10.5,1.1
Tyler Herro,3.9,1.6,1.6,10.9,3,1.7,0.7,0.3,1,8.7,1.9
Gorgui Dieng,3.1,1.5,0.4,8.1,5.1,1.1,0.7,0.6,0.9,6.2,1.7
Dion Waiters,5.1,0.6,2.8,13.7,3.1,3.2,0.8,0.2,1.6,12.4,1.1
Goga Bitadze,3.7,2.1,0.3,9.8,6.1,1.2,0.6,1.2,1.6,7.6,3.2
George Hill,3.3,1.4,1.1,9.1,2.9,2.7,1,0.1,1,7.3,1.6
Isaiah Thomas,4.7,2.3,1.7,13.4,1.8,4.2,0.8,0.2,2.4,12.9,2.8
Kris Dunn,3.6,0.9,0.5,8.7,3.1,4.6,1.1,0.4,1.7,8.4,1.1
Jabari Parker,4.5,1.6,0.8,11.5,5.1,1.9,0.5,0.4,1.8,9.1,2.3
Trevor Ariza,3.2,1.4,1.6,9.4,4,2.7,0.9,0.2,1.1,7.9,1.8
Malik Beasley,4.3,0.7,2,11.3,2.4,1.2,0.7,0.1,0.7,9.1,0.8
Moe Harkless,3.3,0.8,0.9,8.2,4.5,1.2,0.9,0.8,0.8,6.8,1.2
PJ Tucker,2.3,0.5,1.7,6.8,5.4,1.1,1.4,0.5,0.7,5.9,0.6
Cam Reddish,3.6,2.1,1.5,10.9,2.9,1.6,1,0.3,1.6,9.2,2.7
Shabazz Napier,3.1,2.2,1.4,9.7,1.8,2.7,0.8,0.3,1.2,8,2.6
DeMarcus Cousins ,3.2,2,0.5,8.8,4.1,1.7,0.7,0.7,1.3,6.6,2.6
Tristan Thompson,3.9,1.3,0,9.2,8.4,1.7,0.5,0.3,1.1,7.3,2.1
Luke Kennard,4.3,0.9,1.9,11.4,3.2,2,0.4,0.1,0.9,9.5,1.1
Al-Farouq Aminu,2.7,1.6,1,8.1,6.4,1.1,0.7,0.3,0.7,6.2,2.1
Gerald Green,3.7,0.9,2.4,10.7,2.9,0.6,0.5,0.5,0.8,9,1
Mario Hezonja,3.8,1.8,0.8,10.3,4.8,1.7,1.1,0.1,1.7,9.3,2.3
CJ Miles ,3.6,1.5,2.2,10.8,2.9,1.2,0.8,0.5,1,9.9,1.9
Maxi Kleber,2.5,0.8,1.1,6.9,4.7,1,0.5,1.1,0.8,5.3,1
Alfonzo McKinnie,3.7,0.8,1.2,9.5,6.7,0.8,0.6,0.4,0.7,7.5,1.4
Tony Snell,3.4,0.8,1.7,9.3,3.3,1.4,0.6,0.3,0.4,7.6,0.9
Tyler Johnson,3.3,1.5,1.4,9.4,2.6,2.5,0.7,0.4,1.2,7.9,1.9
Harry Giles,4.2,1.4,0,9.8,5.3,2.1,0.7,0.6,1.8,8.4,2.2
Rajon Rondo,3,0.4,0.9,7.2,4,6.2,0.9,0.2,2.1,6.9,0.6
Robin Lopez,4,1.2,0.1,9.2,3.8,1.2,0.1,1.1,1.2,7,1.6
Mohamed Bamba,2.9,0.9,0.5,7.2,5.8,0.9,0.3,1.6,1,6,1.5
Danuel House Jr,3.1,1.4,1.7,9.2,3.5,1,0.5,0.3,0.9,6.5,1.8
Derrick Jones Jr,3,1.5,0.6,8,4.4,0.7,0.9,0.8,0.8,5.9,2.2
Daniel Theis,3,1.1,0.5,7.7,4.7,1.4,0.4,0.8,0.7,5.5,1.6
Jahlil Okafor,3.8,1.1,0,8.8,5,0.7,0.3,0.7,0.9,6.5,1.6
Josh Okogie,3,1.9,0.9,8.8,3.5,1.4,1.3,0.5,1,7.9,2.5
Ante Zizic,3.6,1.8,0,9,6.2,1,0.2,0.5,1.2,6.4,2.5
Trey Lyles,3.9,1.5,0.9,10.3,4.6,1.7,0.6,0.5,1.2,9.2,2.1
Marcus Morris,3.5,1.4,1.4,9.8,4.6,1.1,0.4,0.2,0.9,8.3,1.7
Cory Joseph,2.8,0.4,0.7,6.7,3.4,3.9,1,0.3,1,6.7,0.5
Jaxson Hayes,2.7,1.4,0.1,6.9,3.8,0.4,0.5,1.2,0.8,5.1,1.9
Dylan Windler,2.4,1.5,1,7.4,4.6,1.3,0.6,0.3,0.9,5.1,1.9
Grant Williams,2.9,1.6,0.3,7.8,3.9,1.7,0.6,0.6,1.1,6.2,2.1
Stanley Johnson,3.3,1,1.1,8.7,4.2,1.6,1.1,0.3,1.4,8.5,1.3
Bruno Fernando,2.6,1.4,0.2,6.8,5.5,1.2,0.5,0.8,1.2,5,1.8
Royce O'Neale,3.3,0.5,0.9,7.9,4,1.7,0.8,0.3,1,7,0.6
Anfernee Simons,4.2,1.7,1.5,11.7,2.3,2.1,0.5,0.1,1.7,9.3,2.4
Aaron Holiday,3.3,1.2,1.4,9.2,2,2.6,0.6,0.5,1.2,8,1.5
DeAndre' Bembry,3,1,0.5,7.6,3.9,2.2,1.1,0.4,1.4,6.7,1.5
Jordan Bell,2.5,0.7,0,5.6,4.4,1.8,0.5,1.3,0.9,4.6,1
Taj Gibson,3,1.3,0.1,7.5,4.6,0.8,0.5,0.4,0.7,5.4,1.7
Willy Hernangomez,3.1,2.1,0.4,8.7,6.4,1.2,0.3,0.5,1.1,6.1,3
Aron Baynes,2.5,1.2,0.5,6.6,5.5,1.3,0.2,0.8,0.9,5.2,1.4
Kyle O'Quinn,2.7,0.7,0,6.1,4.7,2.2,0.3,1.1,1.2,5.4,0.9
Dwight Howard,3.3,3.1,0,9.8,7.5,0.9,0.4,1.1,1.4,6,5.4
Mike Muscala,2.5,1.1,1.4,7.5,3.7,1.2,0.3,0.6,0.7,5.5,1.3
Denzel Valentine ,3.3,0.4,1.6,8.7,4.3,2.7,0.6,0.1,1.1,8,0.6
Markieff Morris,3.4,1.2,1.2,9.1,4.3,1.3,0.5,0.4,0.8,8,1.5
Avery Bradley,3.8,0.7,1.4,9.7,2.7,2.3,0.6,0.3,1.3,9.4,0.8
TJ McConnell,2.9,0.4,0.2,6.5,2.4,3.5,1,0.2,1.2,5.9,0.5
Jalen Brunson,3.5,1.2,0.9,9,2.2,3.1,0.5,0.1,1.1,7.4,1.5
Nemanja Bjelica,2.7,0.7,0.9,7,4.1,1.4,0.5,0.5,0.8,5.6,0.9
Chris Boucher,2.2,0.9,0.7,6,3.6,0.2,0.3,1,0.5,4.9,0.9
Dorian Finney-Smith,2.7,0.9,0.9,7.1,4.5,1.1,0.8,0.5,0.8,6.1,1.2
Rondae Hollis-Jefferson,3.8,2.2,0.2,10,5.7,1.8,0.7,0.6,1.3,9.2,3.4
Jake Layman,3.4,0.8,0.9,8.5,3.5,0.8,0.4,0.4,0.6,6.7,1.1
PJ Washington,3,1.6,0.5,8.2,4.7,1.2,0.6,0.6,1.1,6.6,2.4
James Ennis III,2.6,1.1,1,7.3,3.4,0.8,0.7,0.4,0.6,5.6,1.5
Kyle Korver,2.9,0.9,2,8.7,2.3,1.2,0.4,0.2,0.8,6.9,1
Dante Exum ,3.2,2.1,0.5,9.1,2.1,3.5,0.4,0.1,1.5,7.6,2.7
Richaun Holmes,2.4,1.3,0,6.1,3.5,0.7,0.4,0.8,0.5,3.9,1.9
Pat Connaughton,2.6,0.5,1.1,6.8,4,1.9,0.5,0.4,0.5,5.5,0.7
Noah Vonleh,2.3,1.2,0.5,6.2,5.8,1.4,0.5,0.6,0.9,4.9,1.7
Marco Belinelli,3.1,1.2,1.7,9.1,2.2,1.5,0.3,0.1,0.7,7.5,1.4
Emmanuel Mudiay,3,1.7,0.8,8.5,2.4,2.7,0.5,0.2,1.6,6.7,2.2
Josh Hart,2.5,0.7,1.3,7.1,3.3,1.3,0.9,0.5,0.8,6.2,1.1
Andre Roberson ,2.8,0.3,0.2,6.1,4.8,1.2,1.2,0.9,0.8,5.8,1
Cameron Johnson,2.6,1.5,1.1,7.7,3.2,1.4,0.6,0.2,0.9,5.8,2
Alec Burks,2.7,1.6,0.9,7.8,3.3,1.8,0.5,0.3,0.8,6.5,1.9
Matisse Thybulle,1.8,1.1,0.6,5.2,1.6,1.1,1.2,0.8,0.8,4.6,1.3
De'Anthony Melton,1.9,0.4,0.6,4.8,2.6,3.1,1.3,0.5,1.4,4.9,0.6
Ersan Ilyasova,2.6,0.9,0.9,7,4.6,0.8,0.5,0.3,0.7,5.9,1.1
Lonnie Walker IV,2.2,1.2,0.7,6.4,2.4,1.2,0.9,0.2,0.5,5.3,1.5
