player,GP
Dragan Bender,63.5
Wade Baldwin,57.5
Ron Baker,68
Jakob Poeltl,61
Anthony Tolliver,62
Joakim Noah,52.5
Fred VanVleet,57.5
Wesley Johnson,70
Nik Stauskas,73.5
Tim Frazier,67
Arron Afflalo,66
Jonas Jerebko,72
Georgios Papagiannis,50
Langston Galloway,69
Tony Parker,38
Wayne Ellington,65
Mario Hezonja,69.5
Alexis Ajinca,50
Jodie Meeks,55
Devin Harris,57.5
Nemanja Bjelica,65
Al Jefferson,60
Lance Thomas,55
Trey Lyles,69
Jerryd Bayless,55
Mindaugas Kuzminskas,65
Cameron Payne,60
D.J. Augustin,72.5
Quincy Pondexter,46
Shabazz Napier,62.5
Rodney McGruder,69
Dorian Finney-Smith,65
Rashad Vaughn,47.5
Jeff Green,66
Rade Zagorac,60
Ramon Sessions,65
Isaiah Whitehead,52.5
Malachi Richardson,45
Quincy Acy,54
Willie Reed,59
Mario Chalmers,50
Tomas Satoransky,61
Iman Shumpert,66
Richard Jefferson,66
Darrell Arthur,47.5
Chinanu Onuaku,31.5
Justin Anderson,62.5
DeAndre Liggins,55
Omer Asik,45
Malik Beasley,39
Ekpe Udoh,35.5
Tyler Ennis,40
Jose Calderon,35.5
Solomon Hill,49
Kyle Kuzma,42.5
Luke Babbitt,60
Kevon Looney,45.5
Joe Harris,61
Ante Zizic,21
K.J. McDaniels,41
Zhou Qi,41
Tarik Black,45.5
Spencer Dinwiddie,53
Deyonta Davis,44.5
Shane Larkin,41
Nicolas Brussino,50.5
Derrick Jones,43
Henry Ellenson,53.5
Reggie Bullock,51.5
Semaj Christon,37.5
Bryn Forbes,47.5
Alec Burks,48
Brandon Knight,40
OG Anunoby,42.5
Sheldon McClellan,41
Tyler Dorsey,41
Joe Young,43
Tyler Lydon,34.5
David Nwaba,41
Furkan Korkmaz,50
Dwayne Bacon,40.5
Kyle Singler,50.5
Shawn Long,20
Johnny O'Bryant,40.5
Walter Tavares,20
Jordan Bell,35
Chris McCullough,27
Davis Bertans,39
Maxi Kleber,20
